Cycle,Cost,deadline,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,
0,31954.446857,9248.810736,4577.696783,3308.802885,2577.791247,2972.620794,3632.246214,4876.746312,N/A,N/A,N/A,
1,13396.918898,6385.217380,4643.967396,1650.250275,99.762170,155.860837,371.503436,2919.719069,3943.465109,N/A,N/A,
2,35014.076302,9568.200007,3648.830911,2854.150638,1681.224395,1435.762446,40.140713,1713.629824,2075.097560,3258.401437,4537.565968,
3,18491.429333,6137.948363,3588.248057,2265.777785,1119.540948,4361.334265,4428.282693,N/A,N/A,N/A,N/A,
4,25442.335225,8253.762525,3842.208078,3358.141153,725.269866,334.280550,12.922158,486.027911,2470.369263,3028.618388,4135.334325,
5,56127.464386,12476.987892,4178.107511,3758.937371,2309.986154,2248.760753,890.800294,3126.304700,3775.880475,3888.328677,4882.341710,
6,32114.029355,8114.084890,3697.476776,2461.050694,1999.945746,626.686820,645.761908,2713.275908,3829.625764,3959.972881,N/A,
7,42570.182480,8565.246981,4191.627002,2499.013277,1698.095976,1042.326189,1585.211379,3991.141368,4439.869668,4622.358800,N/A,
8,37758.504945,8190.900718,3630.964467,2734.368828,1733.167200,2272.369351,2989.655166,4409.282594,4773.193846,N/A,N/A,
9,41029.610889,8956.939375,3805.813359,2301.561453,1750.334645,1100.588536,1020.282119,1799.519231,2570.631109,3822.958328,4264.241182,
10,15709.732150,7648.460135,3837.469130,3675.039576,702.950355,2927.709303,4206.374331,N/A,N/A,N/A,N/A,
11,30508.741125,8618.755919,4570.920884,3953.373466,4377.764229,4449.900653,4616.735234,N/A,N/A,N/A,N/A,
12,22875.257416,6327.136844,4094.880479,1837.054937,368.010266,3374.796916,3391.269844,3395.251510,N/A,N/A,N/A,
13,24178.299813,5938.375090,3973.262230,1501.370458,429.242066,1043.343131,2688.188085,2728.521935,4157.964911,N/A,N/A,
14,14310.920721,5032.387900,1816.855846,1705.092220,1476.432199,1262.370904,1501.271764,2863.307864,N/A,N/A,N/A,
15,19372.766383,5532.029580,3861.206679,1554.592316,1123.443382,1703.210930,1768.601312,4910.026295,N/A,N/A,N/A,
16,18981.576234,6041.975560,3512.924029,2333.813909,2261.910305,2860.810583,4335.647868,N/A,N/A,N/A,N/A,
17,15508.817209,7594.077527,4318.171753,2749.355370,510.310504,20.545109,1107.036772,1727.407050,4896.975878,N/A,N/A,
18,25739.170739,8351.397154,3621.496517,3285.705651,1226.813570,952.574861,1980.724059,3394.279590,3676.188565,N/A,N/A,
19,21681.406427,6677.190533,4987.430425,1699.259660,218.218945,2715.505414,3258.891149,4406.974242,N/A,N/A,N/A,
20,14626.391889,7139.931037,3833.101386,2429.155779,743.269425,716.814863,1806.172072,4947.908527,N/A,N/A,N/A,
21,33420.854492,8538.339297,3533.734184,2478.164946,1753.905623,622.043584,179.189377,1660.321228,2371.597359,3463.272931,4140.668770,
22,23776.572026,7193.216944,3874.397364,2286.837306,1006.213445,835.109682,1668.947423,3288.581263,4578.633136,N/A,N/A,
23,27454.053867,7094.191070,3176.172833,3056.948610,684.744314,264.211757,1314.477894,2070.695317,2839.052725,4911.105493,N/A,
24,16545.228496,6148.567796,2656.225650,1903.520999,1389.628542,504.771351,816.266327,1587.220009,4419.318616,N/A,N/A,
25,16787.938004,4314.872254,1560.800940,1519.279617,1422.406773,346.089889,1525.894236,1788.174495,2322.608359,N/A,N/A,
26,21587.481002,7892.514856,3556.375407,2690.649988,1404.390713,2118.483187,2654.985499,4422.629030,N/A,N/A,N/A,
27,28463.455037,9411.130701,4542.280561,3438.733713,1502.338592,2960.729307,4017.429945,4958.552001,N/A,N/A,N/A,
28,16891.284502,8082.193520,4804.886480,2709.635058,285.278951,128.494173,84.417285,208.843459,3770.327183,4720.755139,N/A,
29,13855.602198,7136.735847,4668.775898,1699.849719,1317.804514,2131.681173,4707.086820,N/A,N/A,N/A,N/A,
30,18698.152763,6184.578670,3406.810059,1828.686437,688.756634,415.115410,1666.295339,2279.324462,4534.282019,N/A,N/A,
31,23016.208436,5648.241745,3338.820542,1588.546068,1222.534331,2472.467765,3367.662774,3826.546469,N/A,N/A,N/A,
32,8552.016027,4403.262948,3031.473244,768.997135,578.618153,94.324046,1038.167198,4266.476051,N/A,N/A,N/A,
33,32188.807508,7112.537969,2963.235594,2939.433533,1326.381744,58.376605,1456.613324,3206.374098,3292.919117,3807.262027,N/A,
