Cycle,Algo_Type,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,Cost,D_Index,
0,NAIVE,48,39,20,6,1,16,36,38,N/A,259,4,
0,DYNAMIC,48,38,36,6,1,16,20,39,N/A,259,4,
1,NAIVE,35,25,20,1,9,18,29,N/A,N/A,160,4,
1,DYNAMIC,35,25,20,1,9,18,29,N/A,N/A,160,4,
2,NAIVE,49,46,35,17,1,32,41,N/A,N/A,275,4,
2,DYNAMIC,49,41,35,1,17,32,46,N/A,N/A,275,4,
3,NAIVE,47,45,32,3,28,42,N/A,N/A,N/A,216,3,
3,DYNAMIC,47,42,32,3,28,45,N/A,N/A,N/A,216,3,
4,NAIVE,46,37,27,16,5,10,11,21,46,320,5,
4,DYNAMIC,46,37,27,11,10,5,16,21,46,320,5,
5,NAIVE,50,44,31,11,6,23,28,50,N/A,338,4,
5,DYNAMIC,50,44,31,11,6,23,28,50,N/A,338,5,
6,NAIVE,46,40,24,20,7,17,23,41,N/A,314,4,
6,DYNAMIC,46,40,24,17,7,20,23,41,N/A,314,5,
7,NAIVE,45,41,22,16,3,17,23,N/A,N/A,199,4,
7,DYNAMIC,45,23,22,16,3,17,41,N/A,N/A,199,4,
8,NAIVE,48,36,12,4,21,44,N/A,N/A,N/A,158,3,
8,DYNAMIC,48,36,21,4,12,44,N/A,N/A,N/A,158,3,
9,NAIVE,49,26,20,2,10,33,N/A,N/A,N/A,125,3,
9,DYNAMIC,49,26,20,2,10,33,N/A,N/A,N/A,125,3,
10,NAIVE,50,48,45,23,23,13,27,47,50,576,5,
10,DYNAMIC,50,48,47,23,23,13,27,45,50,576,5,
11,NAIVE,49,40,37,24,12,35,36,39,N/A,450,4,
11,DYNAMIC,49,39,37,24,12,35,36,40,N/A,450,5,
12,NAIVE,48,33,9,3,1,27,29,N/A,N/A,146,4,
12,DYNAMIC,48,29,27,1,3,9,33,N/A,N/A,146,4,
13,NAIVE,50,47,27,23,10,27,49,N/A,N/A,303,4,
13,DYNAMIC,50,47,27,23,10,27,49,N/A,N/A,303,4,
14,NAIVE,44,43,26,22,36,38,N/A,N/A,N/A,271,3,
14,DYNAMIC,44,38,36,22,26,43,N/A,N/A,N/A,271,3,
15,NAIVE,49,39,35,13,2,6,7,28,45,302,5,
15,DYNAMIC,49,39,35,7,6,2,13,28,45,302,5,
16,NAIVE,49,47,40,5,3,4,18,42,N/A,244,4,
16,DYNAMIC,49,42,40,4,3,5,18,47,N/A,244,4,
17,NAIVE,48,18,14,10,3,4,16,41,N/A,173,4,
17,DYNAMIC,48,18,16,10,3,4,14,41,N/A,173,5,
18,NAIVE,43,33,28,14,13,22,43,N/A,N/A,257,4,
18,DYNAMIC,43,33,28,13,14,22,43,N/A,N/A,257,4,
19,NAIVE,39,32,20,10,17,25,N/A,N/A,N/A,161,3,
19,DYNAMIC,39,25,20,10,17,32,N/A,N/A,N/A,161,4,
20,NAIVE,46,39,24,9,2,3,6,29,30,240,5,
20,DYNAMIC,46,30,29,6,3,2,9,24,39,240,5,
21,NAIVE,47,42,23,20,11,4,14,26,31,333,5,
21,DYNAMIC,47,31,26,20,4,11,14,23,42,333,5,
22,NAIVE,50,43,35,4,4,8,9,50,N/A,233,4,
22,DYNAMIC,50,43,35,4,4,8,9,50,N/A,233,4,
23,NAIVE,45,31,15,6,7,9,16,N/A,N/A,134,4,
23,DYNAMIC,45,16,15,7,6,9,31,N/A,N/A,134,4,
24,NAIVE,45,38,30,1,29,35,N/A,N/A,N/A,194,3,
24,DYNAMIC,45,35,30,1,29,38,N/A,N/A,N/A,194,4,
25,NAIVE,46,41,36,12,26,41,N/A,N/A,N/A,242,3,
25,DYNAMIC,46,41,26,12,36,41,N/A,N/A,N/A,242,4,
26,NAIVE,42,41,35,13,4,5,18,35,39,349,5,
26,DYNAMIC,42,39,35,18,4,5,13,35,41,349,5,
27,NAIVE,36,16,16,5,1,5,15,30,N/A,142,4,
27,DYNAMIC,36,16,16,5,1,5,15,30,N/A,142,5,
28,NAIVE,50,42,16,13,2,9,24,29,N/A,225,4,
28,DYNAMIC,50,29,24,9,2,13,16,42,N/A,225,5,
29,NAIVE,46,23,16,12,12,19,31,N/A,N/A,196,4,
29,DYNAMIC,46,23,19,12,12,16,31,N/A,N/A,196,4,
30,NAIVE,46,41,31,8,36,42,N/A,N/A,N/A,241,3,
30,DYNAMIC,46,41,36,8,31,42,N/A,N/A,N/A,241,3,
31,NAIVE,48,41,28,22,4,4,13,27,40,328,5,
31,DYNAMIC,48,40,28,13,4,4,22,27,41,328,5,
32,NAIVE,50,42,39,31,18,11,33,34,49,545,5,
32,DYNAMIC,50,42,39,31,18,11,33,34,49,545,5,
33,NAIVE,45,33,23,8,7,19,22,45,N/A,277,4,
33,DYNAMIC,45,33,23,19,7,8,22,45,N/A,277,4,
34,NAIVE,40,35,21,18,13,29,35,N/A,N/A,263,4,
34,DYNAMIC,40,35,21,18,13,29,35,N/A,N/A,263,4,
35,NAIVE,48,43,11,4,16,18,N/A,N/A,N/A,127,3,
35,DYNAMIC,48,18,16,4,11,43,N/A,N/A,N/A,127,4,
36,NAIVE,49,39,32,10,38,47,N/A,N/A,N/A,256,3,
36,DYNAMIC,49,39,38,10,32,47,N/A,N/A,N/A,256,3,
37,NAIVE,47,44,23,15,3,6,11,31,45,311,5,
