Cycle;Algo_Type;Element: 1;Element: 2;Element: 3;Element: 4;Element: 5;Cost;D_Index;
0;NAIVE;39;20;6;38;N/A;70;2;
0;DYNAMIC;39;20;6;38;N/A;70;3;
1;NAIVE;35;18;1;20;N/A;40;2;
1;DYNAMIC;35;18;1;20;N/A;40;3;
2;NAIVE;49;46;17;35;N/A;115;2;
2;DYNAMIC;49;35;17;46;N/A;115;3;
3;NAIVE;47;45;32;42;N/A;151;2;
3;DYNAMIC;47;42;32;45;N/A;151;3;
4;NAIVE;46;37;10;46;N/A;103;2;
4;DYNAMIC;46;37;10;46;N/A;103;3;
5;NAIVE;50;44;6;11;N/A;67;2;
5;DYNAMIC;50;11;6;44;N/A;67;3;
6;NAIVE;46;20;7;24;N/A;58;2;
6;DYNAMIC;46;20;7;24;N/A;58;3;
7;NAIVE;41;23;16;22;N/A;77;2;
7;DYNAMIC;41;22;16;23;N/A;77;3;
8;NAIVE;36;12;4;21;N/A;41;2;
8;DYNAMIC;36;12;4;21;N/A;41;3;
9;NAIVE;49;26;2;33;N/A;63;2;
9;DYNAMIC;49;26;2;33;N/A;63;3;
10;NAIVE;50;45;23;48;N/A;139;2;
10;DYNAMIC;50;45;23;48;N/A;139;3;
11;NAIVE;49;37;12;40;N/A;101;2;
11;DYNAMIC;49;37;12;40;N/A;101;3;
12;NAIVE;33;29;3;9;N/A;44;2;
12;DYNAMIC;33;9;3;29;N/A;44;3;
13;NAIVE;49;47;23;27;N/A;120;2;
13;DYNAMIC;49;27;23;47;N/A;120;3;
14;NAIVE;44;43;26;38;N/A;133;2;
14;DYNAMIC;44;38;26;43;N/A;133;3;
15;NAIVE;39;7;2;6;N/A;17;2;
15;DYNAMIC;39;6;2;7;N/A;17;3;
16;NAIVE;49;4;3;5;N/A;15;2;
16;DYNAMIC;49;4;3;5;N/A;15;3;
17;NAIVE;48;18;3;14;N/A;38;2;
17;DYNAMIC;48;14;3;18;N/A;38;3;
18;NAIVE;43;33;14;28;N/A;89;2;
18;DYNAMIC;43;28;14;33;N/A;89;3;
19;NAIVE;39;32;10;25;N/A;77;2;
19;DYNAMIC;39;25;10;32;N/A;77;3;
20;NAIVE;39;24;2;30;N/A;58;2;
20;DYNAMIC;39;24;2;30;N/A;58;3;
21;NAIVE;47;20;4;11;N/A;39;2;
21;DYNAMIC;47;11;4;20;N/A;39;3;
22;NAIVE;50;35;9;43;N/A;96;2;
22;DYNAMIC;50;35;9;43;N/A;96;3;
23;NAIVE;31;7;6;15;N/A;34;2;
23;DYNAMIC;31;7;6;15;N/A;34;3;
24;NAIVE;45;38;1;30;N/A;70;2;
24;DYNAMIC;45;30;1;38;N/A;70;3;
25;NAIVE;46;41;26;36;N/A;129;2;
25;DYNAMIC;46;36;26;41;N/A;129;3;
26;NAIVE;42;35;5;41;N/A;86;2;
26;DYNAMIC;42;35;5;41;N/A;86;3;
27;NAIVE;15;5;1;5;N/A;12;2;
27;DYNAMIC;15;5;1;5;N/A;12;2;
28;NAIVE;50;16;2;13;N/A;33;2;
28;DYNAMIC;50;13;2;16;N/A;33;3;
29;NAIVE;46;12;12;16;N/A;52;2;
29;DYNAMIC;46;12;12;16;N/A;52;3;
30;NAIVE;42;41;8;31;N/A;88;2;
30;DYNAMIC;42;31;8;41;N/A;88;3;
31;NAIVE;41;22;4;28;N/A;58;2;
31;DYNAMIC;41;22;4;28;N/A;58;3;
32;NAIVE;50;39;18;42;N/A;117;2;
32;DYNAMIC;50;39;18;42;N/A;117;3;
33;NAIVE;45;33;7;19;N/A;66;2;
33;DYNAMIC;45;19;7;33;N/A;66;3;
34;NAIVE;40;29;18;21;N/A;86;2;
34;DYNAMIC;40;21;18;29;N/A;86;3;
35;NAIVE;43;16;4;18;N/A;42;2;
35;DYNAMIC;43;16;4;18;N/A;42;3;
36;NAIVE;49;39;32;47;N/A;150;2;
36;DYNAMIC;49;39;32;47;N/A;150;3;
37;NAIVE;47;44;3;45;N/A;95;2;
37;DYNAMIC;47;44;3;45;N/A;95;3;
38;NAIVE;49;43;8;44;N/A;103;2;
38;DYNAMIC;49;43;8;44;N/A;103;3;
39;NAIVE;24;14;3;8;N/A;28;2;
39;DYNAMIC;24;8;3;14;N/A;28;3;
40;NAIVE;48;22;10;23;N/A;65;2;
40;DYNAMIC;48;22;10;23;N/A;65;3;
41;NAIVE;43;21;6;19;N/A;52;2;
